Method: GET; Path: /; QueryString: ; Body: ;
Method: GET; Path: /; QueryString: ; Body: ;
Method: GET; Path: /; QueryString: ; Body: ;
Method: GET; Path: /api/students; QueryString: ; Body: ;
Method: GET; Path: /api/students; QueryString: ; Body: ;
Method: GET; Path: /api/students; QueryString: ; Body: ;
Method: GET; Path: /api/students; QueryString: ; Body: ;
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
Method: GET; Path: /; QueryString: ; Body: ;
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
Method: GET; Path: /; QueryString: ; Body: ;
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
Method: GET; Path: /; QueryString: ; Body: ;
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
Method: GET; Path: /; QueryString: ; Body: ;
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
Method: POST; Path: /api/enrollments; QueryString: ; Body: {"IndexNumber":"s18164","FirstName":"Adam"};
